time/fps,time/total_timesteps,time/episodes,rollout/exploration_rate,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/loss,train/learning_rate
23,148,100,0.9940800000000001,1.48,0.7,6,,,
23,293,200,0.98828,1.45,0.66,12,,,
23,436,300,0.9825600000000001,1.43,0.56,18,,,
23,587,400,0.97652,1.51,0.74,25,,,
23,727,500,0.97092,1.4,0.65,31,,,
23,870,600,0.9652000000000001,1.43,0.56,37,,,
23,1027,700,0.95892,1.57,0.78,44,,,
23,1170,800,0.9532,1.43,0.64,50,,,
23,1319,900,0.9472400000000001,1.49,0.66,57,,,
23,1461,1000,0.94156,1.42,0.56,63,,,
22,1601,1100,0.9359599999999999,1.4,0.53,69,,,
23,1759,1200,0.92964,1.58,0.86,76,,,
22,1903,1300,0.92388,1.44,0.6,82,,,
22,2039,1400,0.9184399999999999,1.36,0.52,88,,,
22,2184,1500,0.9126400000000001,1.45,0.71,95,,,
22,2318,1600,0.9072800000000001,1.34,0.45,101,,,
22,2483,1700,0.9006799999999999,1.65,1.09,108,,,
22,2642,1800,0.89432,1.59,0.82,115,,,
22,2786,1900,0.88856,1.44,0.59,122,,,
22,2953,2000,0.88188,1.67,1.08,129,,,
22,3112,2100,0.8755200000000001,1.59,1.04,136,,,
22,3273,2200,0.8690800000000001,1.61,1.11,143,,,
22,3427,2300,0.8629199999999999,1.54,0.83,150,,,
22,3567,2400,0.8573200000000001,1.4,0.62,156,,,
22,3710,2500,0.8515999999999999,1.43,0.62,162,,,
22,3865,2600,0.8453999999999999,1.55,0.84,169,,,
22,4014,2700,0.83944,1.49,0.75,176,,,
22,4154,2800,0.8338399999999999,1.4,0.64,182,,,
22,4295,2900,0.8282,1.41,0.63,188,,,
22,4436,3000,0.82256,1.41,0.65,194,,,
22,4583,3100,0.8166800000000001,1.47,0.72,201,,,
22,4721,3200,0.8111600000000001,1.38,0.52,207,,,
22,4857,3300,0.80572,1.36,0.48,213,,,
22,5010,3400,0.7996000000000001,1.53,0.72,220,,,
22,5166,3500,0.7933600000000001,1.56,0.88,227,,,
22,5316,3600,0.7873600000000001,1.5,0.77,234,,,
22,5462,3700,0.78152,1.46,0.62,240,,,
22,5620,3800,0.7751999999999999,1.58,0.95,247,,,
22,5774,3900,0.76904,1.54,0.78,254,,,
22,5926,4000,0.7629600000000001,1.52,1.03,260,,,
22,6064,4100,0.7574399999999999,1.38,0.62,266,,,
22,6227,4200,0.75092,1.63,1.05,273,,,
22,6389,4300,0.74444,1.62,1.07,280,,,
22,6531,4400,0.7387600000000001,1.42,0.56,287,,,
22,6676,4500,0.7329600000000001,1.45,0.64,293,,,
22,6834,4600,0.72664,1.58,0.95,300,,,
22,6978,4700,0.72088,1.44,0.63,307,,,
22,7134,4800,0.7146399999999999,1.56,0.91,313,,,
22,7280,4900,0.7088000000000001,1.46,0.72,320,,,
22,7433,5000,0.70268,1.53,0.7,327,,,
22,7603,5100,0.69588,1.7,1.23,334,,,
22,7758,5200,0.6896800000000001,1.55,1.07,341,,,
22,7901,5300,0.6839599999999999,1.43,0.6,347,,,
22,8044,5400,0.67824,1.43,0.61,354,,,
22,8197,5500,0.67212,1.53,0.85,360,,,
22,8335,5600,0.6666000000000001,1.38,0.44,367,,,
22,8478,5700,0.6608800000000001,1.43,0.58,373,,,
22,8624,5800,0.6550400000000001,1.46,0.66,379,,,
22,8767,5900,0.6493199999999999,1.43,0.59,386,,,
22,8917,6000,0.6433200000000001,1.5,0.73,393,,,
22,9071,6100,0.63716,1.54,0.87,400,,,
22,9225,6200,0.631,1.54,0.88,407,,,
22,9368,6300,0.6252800000000001,1.43,0.64,413,,,
22,9529,6400,0.6188400000000001,1.61,1.02,420,,,
22,9686,6500,0.61256,1.57,0.92,427,,,
22,9839,6600,0.6064400000000001,1.53,0.87,434,,,
